Soal (Indonesia),Question (English)
"Di sebuah toko kue, terdapat {a} toples nastar yang dipajang. Jika masing-masing toples berisi {b} kue nastar, berapa total kue nastar di toko itu?","In a cake shop, there are {a} jars of nastar (pineapple tarts) on display. If each jar contains {b} nastar cakes, what is the total number of nastar cakes in the shop?"
"Seorang pedagang buah memiliki {a} keranjang mangga. Jika setiap keranjang berisi {b} buah mangga, berapa jumlah seluruh mangga milik pedagang tersebut?","A fruit trader has {a} baskets of mangoes. If each basket contains {b} mangoes, what is the total number of mangoes owned by the trader?"
"Ibu mencuci pakaian menggunakan mesin cuci sebanyak {a} kali siklus putaran. Jika tiap putaran memuat maksimal {b} potong pakaian, berapa total pakaian yang dicuci Ibu?","Mother washed clothes using the washing machine for {a} cycles. If each cycle holds a maximum of {b} pieces of clothing, how many clothes did Mother wash in total?"
"Di dalam sebuah kelas terdapat {a} baris meja siswa. Jika setiap baris diisi oleh {b} siswa, berapa jumlah seluruh siswa di kelas tersebut?","In a classroom, there are {a} rows of student desks. If each row is filled by {b} students, what is the total number of students in the classroom?"
Pak Guru membawa {a} kotak kapur tulis ke ruang kelas. Setiap kotak berisi {b} batang kapur. Berapa total kapur tulis yang dibawa Pak Guru?,The teacher brought {a} boxes of chalk to the classroom. Each box contains {b} sticks of chalk. How many pieces of chalk did the teacher bring in total?
"Kakak membeli {a} sisir pisang di pasar. Jika setiap sisir terdiri dari {b} buah pisang, berapa banyak buah pisang yang dibeli Kakak?","Older sibling bought {a} bunches of bananas at the market. If each bunch consists of {b} bananas, how many bananas did they buy?"
"Di rak sepatu terdapat {a} susun laci. Jika setiap susun memuat {b} pasang sepatu, berapa banyak pasang sepatu yang ada di rak tersebut?","On the shoe rack, there are {a} tiers of drawers. If each tier holds {b} pairs of shoes, how many pairs of shoes are on the rack?"
"Ayah membeli {a} dus mi instan untuk persediaan di rumah. Jika setiap dus berisi {b} bungkus mi instan, berapa banyak mi instan yang dibeli Ayah?","Father bought {a} boxes of instant noodles for stock at home. If each box contains {b} packs of instant noodles, how many instant noodles did Father buy?"
"Dalam satu set cangkir teh terdapat {a} buah tatakan piring kecil. Jika Ibu membeli {b} set cangkir teh, berapa banyak tatakan piring kecil seluruhnya?","In one teacup set, there are {a} small saucers. If Mother buys {b} teacup sets, how many small saucers are there in total?"
"Ibu memotong gulungan kain untuk membuat tirai jendela sebanyak {a} helai. Jika tiap helai kain panjangnya {b} meter, berapa meter total kain yang digunakan?","Mother cut rolls of fabric to make window curtains into {a} sheets. If each sheet of fabric is {b} meters long, how many meters of fabric were used in total?"
"Sebuah rumah makan menyediakan {a} meja makan. Jika setiap meja dilengkapi dengan {b} buah kursi, berapa kapasitas total kursi di rumah makan tersebut?","A restaurant provides {a} dining tables. If each table is equipped with {b} chairs, what is the total capacity of chairs in the restaurant?"
"Budi memesan {a} kotak piza ukuran besar. Jika masing-masing kotak berisi {b} potong piza, berapa total potong piza seluruhnya?","Budi ordered {a} large pizza boxes. If each box contains {b} slices of pizza, how many total slices of pizza are there?"
"Petugas kebersihan kompleks mengambil air menggunakan {a} ember penuh. Jika volume setiap ember adalah {b} liter, berapa liter air yang digunakan?","The complex janitor fetched water using {a} full buckets. If the volume of each bucket is {b} liters, how many liters of water were used?"
"Kakek harus meminum suplemen vitamin rutin selama {a} hari. Jika dalam satu hari ia disarankan minum {b} butir kapsul, berapa butir kapsul yang dihabiskan Kakek?","Grandfather has to take routine vitamin supplements for {a} days. If he is advised to take {b} capsules in one day, how many capsules will Grandfather finish?"
"Seorang anak membeli {a} bungkus permen. Jika setiap bungkus berisi {b} butir permen, berapa jumlah seluruh permen yang dibeli anak tersebut?","A child bought {a} packs of candy. If each pack contains {b} candies, what is the total number of candies bought by the child?"
"Ibu membeli {a} ikat bayam di tukang sayur. Jika setiap ikat bayam harganya {b} rupiah, berapa total uang yang harus dibayar Ibu?","Mother bought {a} bunches of spinach from the vegetable vendor. If each bunch of spinach costs {b} rupiah, how much money does Mother have to pay in total?"
"Kakak merapikan koleksi buku ceritanya ke dalam {a} rak buku. Jika masing-masing rak dapat memuat {b} buku, berapa kapasitas maksimal buku yang bisa ditampung?","Older sibling neatly arranged their collection of storybooks into {a} bookshelves. If each shelf can hold {b} books, what is the maximum capacity of books that can be accommodated?"
"Di sebuah minimarket, petugas merapikan {a} baris sabun mandi di etalase. Setiap baris terdiri dari {b} sabun mandi. Berapa jumlah sabun mandi yang dirapikan?","In a minimarket, the staff organized {a} rows of bath soap on the display window. Each row consists of {b} bars of soap. How many bars of soap were organized?"
"Di tempat parkir minimarket, terdapat {a} baris khusus sepeda motor. Jika setiap baris maksimal bisa menampung {b} sepeda motor, berapa kapasitas total parkir motor tersebut?","In the minimarket parking lot, there are {a} rows designated for motorcycles. If each row can accommodate a maximum of {b} motorcycles, what is the total capacity of the motorcycle parking?"
"Guru olahraga memerintahkan siswa untuk berlari mengelilingi lapangan sebanyak {a} putaran. Jika panjang lintasan satu putaran adalah {b} meter, berapa meter jarak total lari tersebut?","The sports teacher ordered the students to run around the field for {a} laps. If the length of one lap is {b} meters, how many meters is the total running distance?"
"Seorang kurir mengirimkan {a} paket ke sebuah alamat rumah. Jika setiap paket memiliki berat {b} kilogram, berapa berat total paket yang dibawa kurir?","A courier delivered {a} packages to a home address. If each package weighs {b} kilograms, what is the total weight of the packages carried by the courier?"
"Sebuah toko alat tulis menjual {a} pak buku tulis. Jika satu pak berisi {b} buku, berapa banyak buku tulis seluruhnya?","A stationery shop sells {a} packs of notebooks. If one pack contains {b} books, how many notebooks are there in total?"
"Panitia arisan keluarga menyediakan {a} kotak kue kotak (snack box). Jika setiap kotak berisi {b} macam kue, berapa total kue yang disediakan?","The family gathering committee provided {a} snack boxes. If each box contains {b} types of cakes, how many cakes are provided in total?"
Barista kedai kopi meracik {a} gelas es kopi susu. Setiap gelas membutuhkan {b} mililiter sirup gula. Berapa mililiter sirup yang digunakan seluruhnya?,The coffee shop barista mixed {a} glasses of iced coffee milk. Each glass requires {b} milliliters of sugar syrup. How many milliliters of syrup were used in total?
"Ibu membeli {a} papan telur ayam di supermarket. Jika setiap papan berisi {b} butir telur, berapa banyak telur ayam yang dibeli Ibu?","Mother bought {a} trays of chicken eggs at the supermarket. If each tray contains {b} eggs, how many chicken eggs did Mother buy?"
"Untuk acara makan malam keluarga, Bibi memasak {a} ekor ayam goreng. Jika setiap ekor ayam dipotong menjadi {b} bagian, berapa banyak potongan ayam goreng yang tersedia?","For a family dinner, Aunt cooked {a} fried chickens. If each chicken is cut into {b} pieces, how many pieces of fried chicken are available?"
"Kakak menempelkan prangko pada {a} buah amplop surat. Jika setiap amplop membutuhkan {b} lembar prangko, berapa banyak prangko yang digunakan Kakak?","Older sibling stuck stamps on {a} mailing envelopes. If each envelope requires {b} stamps, how many stamps did they use?"
"Sebuah bus kota dapat mengangkut {a} baris kursi penumpang. Jika setiap baris terdiri dari {b} kursi, berapa jumlah total kursi penumpang di dalam bus tersebut?","A city bus can accommodate {a} rows of passenger seats. If each row consists of {b} seats, what is the total number of passenger seats inside the bus?"
"Di sebuah ruang pertemuan, panitia menyusun {a} baris kursi untuk peserta. Setiap baris disediakan {b} buah kursi. Berapa banyak kursi seluruhnya?","In a meeting room, the committee arranged {a} rows of chairs for participants. Each row is provided with {b} chairs. How many chairs are there in total?"
"Adik menyusun balok mainan menjadi {a} menara. Jika setiap menara terdiri dari {b} balok kecil, berapa jumlah seluruh balok mainan yang digunakan Adik?","Younger sibling assembled toy blocks into {a} towers. If each tower consists of {b} small blocks, what is the total number of toy blocks used?"
