"Indonesian","English"
"Beni meminjam {a} buku cerita. Ia mengembalikan {b} buku ke perpustakaan. Berapa sisa buku yang dipinjam Beni?","Beni borrowed {a} storybooks. He returned {b} books to the library. How many borrowed books does Beni have left?"
"Udin punya {a} buku cerita dongeng. Ia sudah selesai membaca {b} buku. Berapa buku yang belum dibaca Udin?","Udin has {a} fairytale storybooks. He has finished reading {b} books. How many books has Udin not read yet?"
"Rara memiliki {a} penggaris. Ia memberikan {b} penggaris kepada temannya. Berapa sisa penggaris Rara?","Rara has {a} rulers. She gave {b} rulers to her friend. How many rulers does Rara have left?"
"Tono memiliki {a} pulpen. Ada {b} pulpen yang tintanya macet. Berapa pulpen yang masih bisa dipakai?","Tono has {a} pens. {b} pens got clogged ink. How many pens can still be used?"
"Rini memiliki {a} sampul buku. Ia menyampul {b} bukunya. Berapa sisa sampul Rini?","Rini has {a} book covers. She covered {b} of her books. How many book covers does Rini have left?"
"Kucing Budi melahirkan {a} anak kucing. Budi memberikan {b} anak kucing kepada temannya. Berapa sisa anak kucing Budi?","Budi's cat gave birth to {a} kittens. Budi gave {b} kitten to his friend. How many kittens does Budi have left?"
"Di kolam ada {a} ikan mas. Ternyata {b} ikan mati. Berapa sisa ikan yang hidup di kolam?","In the pond, there are {a} goldfish. It turns out {b} fish died. How many living fish are left in the pond?"
"Rara mempunyai {a} ikan cupang. Ia memindahkan {b} ikan ke wadah lain. Berapa sisa ikan di wadah pertama?","Rara has {a} betta fish. She moved {b} fish to another container. How many fish are left in the first container?"
"Di dahan pohon ada {a} burung. Tiba-tiba {b} burung terbang kaget. Berapa sisa burung di dahan?","On the tree branch, there are {a} birds. Suddenly {b} birds flew away startled. How many birds are left on the branch?"
"Udin memberi makan {a} burung merpati. Setelah kenyang, {b} burung terbang. Berapa merpati yang masih makan?","Udin fed {a} pigeons. After getting full, {b} birds flew away. How many pigeons are still eating?"
"Lani memelihara {a} kelinci. Suatu hari {b} kelinci kabur dari kandang. Berapa sisa kelinci Lani?","Lani keeps {a} rabbits. One day {b} rabbit escaped from the cage. How many rabbits does Lani have left?"
"Peternak memiliki {a} ekor ayam. Ia menjual {b} ayam ke pasar. Berapa sisa ayam di peternakan?","The farmer has {a} chickens. He sold {b} chickens to the market. How many chickens are left on the farm?"
"Kakek punya {a} ekor bebek. Ada {b} bebek yang berenang ke sungai. Berapa sisa bebek di kandang?","Grandpa has {a} ducks. {b} ducks swam to the river. How many ducks are left in the pen?"
"Ada {a} kura-kura sedang berjemur. Lalu {b} kura-kura masuk ke dalam air. Berapa sisa kura-kura yang berjemur?","There are {a} turtles basking. Then {b} turtles went into the water. How many turtles are still basking?"
"Edo melihat {a} lalat hinggap di meja. Tiba-tiba {b} lalat terbang menjauh. Berapa sisa lalat di meja?","Edo saw {a} flies land on the table. Suddenly {b} flies flew away. How many flies are left on the table?"
"Di taman ada {a} bunga mawar mekar. Sore harinya, {b} bunga mawar layu. Berapa sisa mawar yang masih mekar?","In the garden, there are {a} blooming roses. In the afternoon, {b} roses withered. How many blooming roses are left?"
"Dina menanam {a} bibit bunga mawar. Ternyata {b} bibit layu dan mati. Berapa bibit bunga yang berhasil tumbuh?","Dina planted {a} rose seedlings. It turns out {b} seedling withered and died. How many seedlings grew successfully?"
"Di kebun paman ada {a} pohon mangga. Paman menebang {b} pohon karena sudah tua. Berapa sisa pohon mangga paman?","In Uncle's garden, there are {a} mango trees. Uncle cut down {b} trees because they were old. How many mango trees does Uncle have left?"
"Ada {a} ranting di pohon jambu. Burung menginjak {b} ranting sampai patah. Berapa ranting yang masih utuh?","There are {a} branches on the guava tree. Birds stepped on {b} branches until they broke. How many intact branches are left?"
"Ayah menemukan {a} jamur di hutan. Ayah memetik {b} jamur untuk dimasak. Berapa sisa jamur di tanah?","Father found {a} mushrooms in the forest. Father picked {b} mushrooms to cook. How many mushrooms are left on the ground?"
"Lani punya {a} jepit rambut. Ia menghilangkan {b} jepit rambutnya di sekolah. Berapa sisa jepit rambut Lani?","Lani has {a} hair clips. She lost {b} hair clips at school. How many hair clips does Lani have left?"
