Soal (Indonesia),Question (English)
Kakak menata {a} buah buku cerita miliknya ke dalam {b} susun rak buku sama banyak. Berapa kapasitas buku yang bisa ditampung pada setiap susun rak?,Older sibling arranged {a} storybooks onto {b} tiers of bookshelves equally. What is the book capacity that can be accommodated on each tier?
"Di sebuah minimarket, petugas menyusun {a} sabun mandi secara merata ke dalam {b} baris di etalase. Berapa jumlah sabun mandi pada setiap barisnya?","In a minimarket, the staff organized {a} bars of bath soap evenly into {b} rows on the display window. What is the number of bath soaps in each row?"
Seorang kurir membawa paket dengan berat total {a} kilogram. Paket tersebut dibagi ke dalam {b} buah kantong pengiriman sama berat. Berapa kilogram berat setiap kantong pengiriman?,A courier carries packages with a total weight of {a} kilograms. The packages are divided into {b} delivery bags of equal weight. How many kilograms does each delivery bag weigh?
Sebuah toko alat tulis menjual satu pak buku tulis berisi {a} buah buku dengan harga total {b} rupiah. Berapa rupiah harga untuk satu buah buku tulis tersebut?,A stationery shop sells a pack of notebooks containing {a} books for a total price of {b} rupiah. How many rupiah is the price for one notebook?
Panitia bakti sosial menyediakan {a} kilogram beras untuk dibagikan merata kepada {b} kepala keluarga yang membutuhkan. Berapa kilogram beras yang didapat setiap kepala keluarga?,The charity committee provided {a} kilograms of rice to be distributed evenly to {b} families in need. How many kilograms of rice did each family get?
Barista menggunakan {a} mililiter sirup gula untuk meracik {b} gelas es kopi susu dengan takaran yang sama. Berapa mililiter sirup gula yang digunakan untuk setiap gelas kopi?,The barista used {a} milliliters of sugar syrup to mix {b} glasses of iced coffee milk with the same measurement. How many milliliters of sugar syrup were used for each glass of coffee?
"Untuk acara makan malam keluarga, Bibi memotong beberapa ekor ayam menjadi {a} potongan ayam goreng. Potongan ayam tersebut disajikan merata pada {b} buah wadah. Berapa potongan ayam di setiap wadah?","For a family dinner, Aunt cut some chickens into {a} pieces of fried chicken. The chicken pieces were served equally in {b} containers. How many pieces of chicken are in each container?"
Kakak menempelkan {a} lembar prangko secara merata pada {b} buah amplop surat yang akan dikirim. Berapa lembar prangko yang ditempelkan pada setiap amplop?,Older sibling stuck {a} stamps evenly onto {b} mailing envelopes to be sent. How many stamps were stuck on each envelope?
Adik menyusun {a} balok mainan kayu menjadi {b} buah menara dengan tinggi yang sama. Berapa jumlah balok mainan yang digunakan pada setiap menara?,Younger sibling assembled {a} wooden toy blocks into {b} towers of equal height. What is the number of toy blocks used in each tower?
Sebuah keluarga menghabiskan {a} kg beras dalam waktu {b} hari. Berapa kilogram rata-rata konsumsi beras keluarga tersebut per harinya?,A family consumes {a} kg of rice within {b} days. What is the average daily rice consumption of the family in kilograms?
Seorang anak memiliki {a} buah koin kuno dan ingin menyimpannya ke dalam {b} buah album koin sama banyak. Berapa koin yang ada di setiap album?,A child has {a} ancient coins and wants to store them equally into {b} coin albums. How many coins are in each album?
Petani memanen sawi dan memasukkan total {a} ikat sawi ke dalam {b} buah keranjang bambu sama banyak. Berapa ikat sawi yang ada di dalam setiap keranjang?,A farmer harvested spinach and put a total of {a} bunches of spinach into {b} bamboo baskets equally. How many bunches of spinach are inside each basket?
"Dalam sebuah ujian, seorang siswa harus menjawab {a} butir soal dalam waktu {b} menit. Jika waktu untuk setiap soal dibagi rata, berapa menit waktu yang dialokasikan untuk satu soal?","In an exam, a student must answer {a} questions within {b} minutes. If the time for each question is divided equally, how many minutes are allocated for one question?"
Ibu membeli {a} buah telur ayam yang dikemas dalam {b} papan telur dengan isi yang sama. Berapa banyak telur ayam yang ada di setiap papan?,Mother bought {a} chicken eggs packaged in {b} egg trays with equal contents. How many chicken eggs are there on each tray?
Sebuah perusahaan membagikan {a} stel seragam kerja baru kepada {b} divisi operasionalnya sama rata. Berapa stel seragam yang didapatkan oleh setiap divisi?,A company distributed {a} sets of new work uniforms equally to its {b} operational divisions. How many sets of uniforms did each division get?
Sekretaris mencetak laporan bulanan sebanyak {a} halaman yang dibagi habis ke dalam {b} buah map dokumen sama tebal. Berapa halaman laporan di setiap map?,The secretary printed a monthly report of {a} pages which was divided completely into {b} document folders of equal thickness. How many pages of the report are in each folder?
Sebuah mesin printer dapat mencetak {a} lembar kertas dokumen dalam waktu {b} menit. Berapa lembar kertas yang dapat dicetak printer tersebut dalam satu menit?,A printer machine can print {a} sheets of document paper within {b} minutes. How many sheets of paper can the printer print in one minute?
Tukang jahit membutuhkan {a} buah kancing untuk dipasang secara merata pada {b} helai kemeja seragam. Berapa buah kancing yang dijahit pada setiap kemeja?,A tailor needs {a} buttons to be attached evenly onto {b} uniform shirts. How many buttons are sewn onto each shirt?
Panitia maraton menyediakan {a} botol air mineral yang didistribusikan sama banyak ke {b} titik pos minum. Berapa botol air minum yang tersedia di setiap pos?,The marathon committee provided {a} bottles of mineral water distributed equally to {b} hydration stations. How many bottles of water are available at each station?
Seorang programer menulis {a} baris kode program yang dibagi secara merata ke dalam {b} buah modul aplikasi. Berapa baris kode yang ada di setiap modul?,A programmer wrote {a} lines of code divided evenly into {b} application modules. How many lines of code are in each module?
"Dalam sebuah kompetisi catur, panitia menyediakan {a} buah bidak catur untuk diletakkan sama banyak di atas {b} meja pertandingan. Berapa buah bidak catur yang ada di setiap meja?","In a chess competition, the committee provided {a} chess pieces to be placed equally on {b} match tables. How many chess pieces are on each match table?"
