"Indonesian","English"
"Edo punya {a} stroberi. Ia memetik {b} stroberi lagi, lalu memberikan {c} stroberi ke teman. Berapa sisa stroberi Edo?","Edo has {a} strawberries. He picks {b} more, then gives {c} strawberries to a friend. How many strawberries does Edo have left?"
"Ayah memanen {a} pisang. Paman memberikan {b} pisang lagi, lalu ibu menggoreng {c} pisang. Berapa sisa pisang mentah yang belum digoreng?","Father harvests {a} bananas. Uncle gives {b} more, then Mother fries {c} bananas. How many raw bananas are left?"
"Udin punya {a} jambu air. Ibu memberi {b} jambu, lalu {c} jambu dimakan bersama teman. Berapa sisa jambu Udin?","Udin has {a} water apples. Mother gives him {b} more, then {c} water apples are eaten with friends. How many water apples does Udin have left?"
"Di kulkas ada {a} anggur. Kakak menaruh {b} anggur lagi, lalu {c} anggur dimakan adik. Berapa sisa anggur di kulkas?","In the fridge, there are {a} grapes. Older sibling puts {b} more, then {c} grapes are eaten by my younger sibling. How many grapes are left in the fridge?"
"Dina punya {a} buah naga. Ia membeli {b} lagi, kemudian {c} buah naga dibuat jus. Berapa sisa buah naga yang masih utuh?","Dina has {a} dragon fruits. She buys {b} more, then {c} dragon fruits are made into juice. How many whole dragon fruits are left?"
"Ada {a} rambutan di meja. Ayah menaruh {b} rambutan, lalu {c} rambutan dimakan. Berapa sisa rambutan?","There are {a} rambutans on the table. Father puts {b} more, then {c} rambutans are eaten. How many rambutans are left?"
"Rio punya {a} potong melon. Ia mendapat {b} potong lagi, tapi {c} potong melon dimakan. Berapa sisa melon Rio?","Rio has {a} slices of melon. He gets {b} more, but {c} slices are eaten. How many slices does Rio have left?"
"Ani punya {a} pensil. Ibu memberi {b} pensil, tapi {c} pensil patah. Berapa sisa pensil Ani yang masih bagus?","Ani has {a} pencils. Mother gives her {b} more, but {c} pencils break. How many good pencils does Ani have left?"
"Budi punya {a} buku tulis. Ayah membelikan {b} buku, lalu {c} buku dipinjam teman. Berapa sisa buku Budi?","Budi has {a} notebooks. Father buys him {b} more, then {c} notebooks are borrowed by a friend. How many notebooks does Budi have left?"
"Di tempat pensil ada {a} penghapus. Kakak memasukkan {b} penghapus, tapi {c} penghapus hilang di sekolah. Berapa sisa penghapus?","In the pencil case, there are {a} erasers. Older sibling adds {b} more, but {c} erasers are lost at school. How many erasers are left?"
"Edo punya {a} spidol. Ibu membeli {b} spidol lagi, namun {c} spidol tintanya habis. Berapa sisa spidol yang bisa dipakai?","Edo has {a} markers. Mother buys {b} more, but {c} markers run out of ink. How many usable markers are left?"
"Siti punya {a} krayon. Teman memberi {b} krayon, lalu {c} krayon patah. Berapa sisa krayon Siti yang utuh?","Siti has {a} crayons. A friend gives her {b} more, then {c} crayons break. How many intact crayons does Siti have left?"
"Rara punya {a} penggaris. Ia membeli {b} penggaris, lalu memberikan {c} penggaris ke temannya. Berapa sisa penggaris Rara?","Rara has {a} rulers. She buys {b} more, then gives {c} to a friend. How many rulers does Rara have left?"
"Guru punya {a} kertas lipat. Ia menambah {b} kertas, lalu murid memakai {c} kertas. Berapa sisa kertas guru?","The teacher has {a} origami papers. She adds {b} more, then students use {c} papers. How many papers does the teacher have left?"
"Tono punya {a} pulpen. Ayah membelikan {b} pulpen, tapi {c} pulpen tintanya macet. Berapa sisa pulpen Tono yang lancar?","Tono has {a} pens. Father buys {b} more, but {c} pens get clogged. How many working pens does Tono have left?"
"Beni meminjam {a} buku cerita dari perpustakaan. Paman memberi {b} buku cerita lagi, lalu Beni mengembalikan {c} buku ke perpustakaan. Berapa sisa buku cerita yang ada di rumah Beni?","Beni borrows {a} storybooks from the library. Uncle gives him {b} more, then Beni returns {c} books to the library. How many storybooks are left at Beni's house?"
"Sinta punya {a} lembar kertas warna. Ia membeli {b} lembar kertas, lalu menggunting {c} lembar untuk tugas. Berapa sisa kertas Sinta?","Sinta has {a} sheets of colored paper. She buys {b} more sheets, then cuts {c} sheets for an assignment. How many sheets of colored paper does Sinta have left?"
"Di kolam ada {a} ikan hias. Paman memasukkan {b} ikan, lalu {c} ikan mati. Berapa sisa ikan di kolam?","In the pond, there are {a} ornamental fish. Uncle adds {b} more fish, then {c} fish die. How many fish are left in the pond?"
"Kucing Budi memiliki {a} anak. Lahir {b} anak kucing lagi, tapi {c} anak kucing diadopsi tetangga. Berapa sisa anak kucing Budi?","Budi's cat has {a} kittens. {b} more kittens are born, but {c} kittens are adopted by a neighbor. How many kittens does Budi have left?"
"Di dahan pohon ada {a} burung. Datang {b} burung lagi, lalu {c} burung terbang pergi. Berapa sisa burung di dahan?","On the tree branch, there are {a} birds. {b} more birds arrive, then {c} birds fly away. How many birds are left on the branch?"
"Peternak memiliki {a} ayam. Kemudian menetas {b} anak ayam lagi, lalu {c} ayam dijual ke pasar. Berapa sisa ayam peternak sekarang?","The farmer has {a} chickens. Then {b} more chicks hatch, and {c} chickens are sold to the market. How many chickens does the farmer have left?"
"Lani memelihara {a} kelinci. Kakek membelikan {b} kelinci, tapi {c} kelinci kabur dari kandang. Berapa sisa kelinci Lani?","Lani keeps {a} rabbits. Grandpa buys her {b} more, but {c} rabbits escape from the cage. How many rabbits does Lani have left?"
"Udin memelihara {a} burung merpati. Ia membeli {b} merpati lagi, lalu {c} merpati terbang dan tidak kembali. Berapa sisa merpati Udin?","Udin keeps {a} pigeons. He buys {b} more, then {c} pigeons fly away and do not return. How many pigeons does Udin have left?"
"Ada {a} kura-kura berjemur. Datang {b} kura-kura ikut berjemur, lalu {c} kura-kura masuk ke dalam air. Berapa sisa kura-kura di darat?","There are {a} turtles basking. {b} more turtles come to bask, then {c} turtles go into the water. How many turtles are left on land?"
"Edo melihat {a} lalat di meja. Datang {b} lalat lagi, tapi {c} lalat terbang diusir ibu. Berapa sisa lalat di meja?","Edo sees {a} flies on the table. {b} more flies arrive, but {c} flies fly away after being shooed by mother. How many flies are left on the table?"
"Ibu membuat {a} potong kue. Ibu memanggang {b} potong kue lagi, tapi {c} kue dimakan saat tamu datang. Berapa sisa kue ibu?","Mother makes {a} slices of cake. She bakes {b} more slices, but {c} slices are eaten when guests arrive. How many slices of cake does Mother have left?"
"Ani punya {a} permen. Ayah membelikan {b} permen, lalu {c} permen dibagikan ke teman-temannya. Berapa sisa permen Ani?","Ani has {a} candies. Father buys {b} more, then {c} candies are shared with her friends. How many candies does Ani have left?"
"Di kotak bekal ada {a} lembar roti. Ibu menambah {b} roti, tapi {c} roti dimakan Budi saat jam istirahat. Berapa sisa roti di kotak?","In the lunchbox, there are {a} slices of bread. Mother adds {b} more, but {c} slices are eaten by Budi during recess. How many slices of bread are left in the box?"
"Edo punya {a} biskuit. Ia membeli {b} biskuit lagi, tapi {c} biskuit dimakan saat menonton TV. Berapa sisa biskuit Edo?","Edo has {a} biscuits. He buys {b} more, but {c} biscuits are eaten while watching TV. How many biscuits does Edo have left?"
"Ayah menggoreng {a} tempe. Ayah menggoreng {b} tempe lagi, tapi {c} tempe dimakan keluarga saat makan siang. Berapa sisa tempe goreng?","Father fries {a} tempeh. He fries {b} more, but {c} tempeh are eaten by the family during lunch. How many fried tempeh are left?"
"Siti disiapkan {a} gelas susu. Ibu membuatkan {b} gelas susu lagi, tapi {c} gelas susu diminum. Berapa sisa gelas susu utuh?","Siti is prepared {a} glasses of milk. Mother makes {b} more glasses, but {c} glasses are drunk. How many full glasses of milk are left?"
"Paman membeli {a} es krim. Paman membeli {b} es krim lagi, tapi {c} es krim mencair karena panas. Berapa sisa es krim yang beku?","Uncle buys {a} ice creams. He buys {b} more, but {c} ice creams melt because of the heat. How many frozen ice creams are left?"
"Budi membawa {a} donat. Teman memberinya {b} donat, tapi {c} donat dimakan bersama. Berapa sisa donat Budi?","Budi brings {a} donuts. A friend gives him {b} more, but {c} donuts are eaten together. How many donuts does Budi have left?"
"Nenek merebus {a} telur. Nenek merebus {b} telur lagi, tapi {c} telur dimakan untuk sarapan. Berapa sisa telur rebus nenek?","Grandma boils {a} eggs. She boils {b} more eggs, but {c} eggs are eaten for breakfast. How many boiled eggs does Grandma have left?"
"Dina membeli {a} bungkus kerupuk. Ia membeli {b} bungkus lagi, tetapi {c} bungkus kerupuk tumpah dan kotor. Berapa sisa bungkus kerupuk yang masih bisa dimakan?","Dina buys {a} packs of crackers. She buys {b} more packs, but {c} packs spill and get dirty. How many edible packs of crackers are left?"
"Di toples ada {a} nastar. Ibu memasukkan {b} nastar, lalu {c} nastar dimakan kakak. Berapa sisa kue nastar di toples?","In the jar, there are {a} nastars. Mother puts in {b} more nastars, then {c} nastars are eaten by older sibling. How many nastar cookies are left in the jar?"
"Sinta memiliki {a} keping cokelat. Kakak memberinya {b} cokelat, lalu {c} cokelat diberikan kepada adiknya. Berapa sisa cokelat Sinta?","Sinta has {a} pieces of chocolate. Older sibling gives her {b} more, then {c} chocolates are given to her younger sibling. How many pieces of chocolate does Sinta have left?"
"Rio membeli {a} butir bakso. Ia membeli {b} butir bakso lagi, lalu {c} bakso dimakan. Berapa sisa bakso Rio?","Rio buys {a} meatballs. He buys {b} more meatballs, then {c} meatballs are eaten. How many meatballs does Rio have left?"
"Di parkiran ada {a} mobil. Datang {b} mobil baru parkir, lalu {c} mobil keluar dari parkiran. Berapa sisa mobil di sana?","In the parking lot, there are {a} cars. {b} more cars arrive to park, then {c} cars exit the parking lot. How many cars are left there?"
"Lita melihat {a} taksi kuning berjejer. Datang {b} taksi ikut berjejer, lalu {c} taksi melaju membawa tamu. Berapa sisa taksi yang berjejer?","Lita sees {a} yellow taxis lined up. {b} more taxis arrive to line up, then {c} taxis drive away carrying guests. How many lined-up taxis are left?"
